"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/20/2024","AirNow","360010012","1","0.036","ppm","33","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/21/2024","AirNow","360010012","1","0.037","ppm","34","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/22/2024","AirNow","360010012","1","0.037","ppm","34","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/25/2024","AirNow","360010012","1","0.041","ppm","38","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/26/2024","AirNow","360010012","1","0.038","ppm","35","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/27/2024","AirNow","360010012","1","0.024","ppm","22","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/28/2024","AirNow","360010012","1","0.037","ppm","34","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/29/2024","AirNow","360010012","1","0.044","ppm","41","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/30/2024","AirNow","360010012","1","0.039","ppm","36","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/31/2024","AirNow","360010012","1","0.041","ppm","38","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/01/2024","AirNow","360010012","1","0.036","ppm","33","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/02/2024","AirNow","360010012","1","0.03","ppm","28","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/05/2024","AirNow","360010012","1","0.037","ppm","34","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/06/2024","AirNow","360010012","1","0.039","ppm","36","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/07/2024","AirNow","360010012","1","0.046","ppm","43","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/08/2024","AirNow","360010012","1","0.041","ppm","38","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/09/2024","AirNow","360010012","1","0.053","ppm","49","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/10/2024","AirNow","360010012","1","0.049","ppm","45","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/11/2024","AirNow","360010012","1","0.04","ppm","37","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/12/2024","AirNow","360010012","1","0.041","ppm","38","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/13/2024","AirNow","360010012","1","0.042","ppm","39","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/14/2024","AirNow","360010012","1","0.041","ppm","38","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/15/2024","AirNow","360010012","1","0.046","ppm","43","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"04/16/2024","AirNow","360010012","1","0.045","ppm","42","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
