,COMID,Date,Time,HUC_12,State,Temp.C,pH.std_units,Alkalinity.ueq/kgw,pCO2.uatm,CO2.mg/l
231,947020450,2010-03-29,08:15:00,170200160305,WA,10.9,8.5,4495.95,720.540116191749,1.652769912649
232,947020450,2004-07-06,13:30:00,170200160305,WA,25.2,8.5,3756.616,724.781225848113,1.07910678600546
233,947020450,2019-03-04,11:35:00,170200160305,WA,1.7,8.4,5135.374,943.829046934492,3.02540079318189
234,947020450,2020-07-27,14:30:00,170200160305,WA,26.5,8.6,3876.508,598.967061759372,0.861374724272899
235,947020450,2005-10-05,13:00:00,170200160305,WA,15.0,8.6,4455.986,591.050138546963,1.18562840058911
236,947020450,2019-10-09,15:00:00,170200160305,WA,10.9,8.6,4356.076,551.43658394304,1.26489847695042
237,947020450,2002-04-22,10:15:00,170200160305,WA,14.1,7.93,4316.112,2723.76983933447,5.62299283810798
238,947020450,2006-10-10,12:30:00,170200160305,WA,13.4,8.4,4575.878,955.08162894078,2.01667586518805
239,947020450,2001-10-09,14:00:00,170200160305,WA,14.4,8.8,4356.076,355.091997922381,0.726027958068136
240,947020450,2019-04-08,11:40:00,170200160305,WA,11.7,8.3,4475.968,1158.25195164936,2.58641886075641
241,947020450,2002-07-16,11:20:00,170200160305,WA,26.2,8.6,3936.454,605.474364956316,0.877667542280655
242,947020450,2016-03-09,11:45:00,170200160305,WA,10.2,8.27,4775.698,1300.72711571061,3.05530421448383
243,947020450,2007-01-29,12:00:00,170200160305,WA,1.7,8.5,5135.374,746.822215547691,2.39389919341478
244,947020450,2010-07-20,08:30:00,170200160305,WA,24.5,8.6,3716.652,559.25486380381,0.848605259369978
245,947020450,2003-07-07,13:45:00,170200160305,WA,24.6,8.3,3776.598,1159.8567716893,1.75516746678918
246,947020450,2017-04-04,09:50:00,170200160305,WA,9.1,8.6,3696.67,460.669043638802,1.12400965478194
247,947020450,2011-06-13,10:15:00,170200160305,WA,20.3,8.3,3936.454,1138.50733382182,1.9444811454493
248,947020450,2004-04-12,12:00:00,170200160305,WA,15.4,8.5,4555.896,769.545166091287,1.52431121811395
